28,IMG_12,STIM_28,P The child threw the frisbee.,passive,IMG_12_P,exp_images/images/child_throw_frisbee.jpg,exp_images/sentences/Frisbee-passive.jpg,exp_images/audio/p_frisbee.wav,voice,Passive_List_2,20,exp_images/audio/p_grass.wav,Passive_List_2,IMG_04,exp_images/images/man_cut_shrub.jpg,exp_images/sentences/Grass-passive.jpg,voice,STIM_20,P The man cut the shrub.,7,0,7,IMG_04_P,passive

extraInfo
ID,1
participant,
Age,

Gender,Male
Dominant Eye,Right
Dominant Hand,Right
session,PUN
EDF Filename,
date,2025-03-17_14h03.11.275
expName,PunjabiActivePassive
psychopyVersion,2024.2.2
frameRate,143.98640764666845
expStart,2025-03-17 14h03.17.467452 +0530
